timestamp,ip,req_per_IP_5min,error_ratio_per_IP,unique_UA_per_IP,size,Label
2019-01-22 03:56:14,54.36.149.41,1.0,0.0,1.0,30577,0
2019-01-22 03:56:14,113.190.10.12,1.0,1.0,1.0,2289,0
2019-01-22 03:56:16,31.56.96.51,1.0,0.0,1.0,5379,0
2019-01-22 03:56:16,31.56.96.51,2.0,0.0,1.0,5667,0
2019-01-22 03:56:17,40.77.167.129,1.0,0.0,1.0,1696,0
2019-01-22 03:56:17,91.99.72.15,1.0,0.0,1.0,41483,0
2019-01-22 03:56:17,40.77.167.129,2.0,0.0,1.0,2654,0
2019-01-22 03:56:18,40.77.167.129,3.0,0.0,1.0,3688,0
2019-01-22 03:56:18,40.77.167.129,4.0,0.0,1.0,14776,0
2019-01-22 03:56:18,66.249.66.194,1.0,0.0,1.0,34277,0
2019-01-22 03:56:18,40.77.167.129,5.0,0.0,1.0,1695,0
2019-01-22 03:56:18,207.46.13.136,1.0,0.0,1.0,39677,0
2019-01-22 03:56:19,40.77.167.129,6.0,0.0,1.0,2788,0
2019-01-22 03:56:19,207.46.13.136,2.0,0.0,1.0,33617,0
2019-01-22 03:56:19,40.77.167.129,7.0,0.0,1.0,2739,0
2019-01-22 03:56:19,40.77.167.129,8.0,0.0,1.0,9831,0
2019-01-22 03:56:19,40.77.167.129,9.0,0.0,1.0,1796,0
2019-01-22 03:56:19,178.253.33.51,1.0,0.0,1.0,20406,0
2019-01-22 03:56:19,91.99.72.15,2.0,0.0,2.0,41725,0
2019-01-22 03:56:19,113.190.10.39,1.0,1.0,1.0,2285,0
2019-01-22 03:56:20,31.56.96.51,3.0,0.0,1.0,7171,0
2019-01-22 03:56:20,31.56.96.51,4.0,0.0,1.0,5667,0
2019-01-22 03:56:20,178.253.33.51,2.0,0.0,1.0,4120,0
2019-01-22 03:56:20,91.99.72.15,3.0,0.0,2.0,40250,0
2019-01-22 03:56:20,66.249.66.194,2.0,0.0,2.0,19451,0
2019-01-22 03:56:20,40.77.167.129,10.0,0.0,1.0,3481,0
2019-01-22 03:56:20,66.249.66.91,1.0,0.0,1.0,39660,0
